<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EURUSD,5,20250401,045000,1.08264,1.08265,1.08247,1.08252,0,0
EURUSD,5,20250401,045500,1.08258,1.08264,1.08231,1.08243,0,0
EURUSD,5,20250401,050000,1.08243,1.08249,1.08236,1.08247,0,0
EURUSD,5,20250401,050500,1.08239,1.08241,1.08224,1.08228,0,0
EURUSD,5,20250401,051000,1.08227,1.08235,1.08214,1.08233,0,0
EURUSD,5,20250401,051500,1.08236,1.08244,1.08234,1.08243,0,0
EURUSD,5,20250401,052000,1.08243,1.08249,1.08239,1.08243,0,0
EURUSD,5,20250401,052500,1.08243,1.08248,1.08238,1.08242,0,0
EURUSD,5,20250401,053000,1.08242,1.08275,1.08242,1.08272,0,0
EURUSD,5,20250401,053500,1.08273,1.08273,1.0825,1.0825,0,0
EURUSD,5,20250401,054000,1.08248,1.08256,1.08241,1.08254,0,0
EURUSD,5,20250401,054500,1.08254,1.08275,1.08242,1.08259,0,0
EURUSD,5,20250401,055000,1.08259,1.08266,1.08246,1.08251,0,0
EURUSD,5,20250401,055500,1.0825,1.08274,1.08245,1.08272,0,0
EURUSD,5,20250401,060000,1.08269,1.08286,1.08268,1.08286,0,0
EURUSD,5,20250401,060500,1.08293,1.08298,1.08286,1.08296,0,0
EURUSD,5,20250401,061000,1.08297,1.08301,1.08273,1.08275,0,0
EURUSD,5,20250401,061500,1.08275,1.08283,1.08269,1.08269,0,0
EURUSD,5,20250401,062000,1.08269,1.08272,1.08257,1.08268,0,0
EURUSD,5,20250401,062500,1.08265,1.08266,1.08253,1.08265,0,0
EURUSD,5,20250401,063000,1.08265,1.0828,1.08265,1.0828,0,0
EURUSD,5,20250401,063500,1.0828,1.08297,1.08278,1.08288,0,0
EURUSD,5,20250401,064000,1.08288,1.08291,1.08276,1.08276,0,0
EURUSD,5,20250401,064500,1.08274,1.08285,1.08269,1.08285,0,0
EURUSD,5,20250401,065000,1.08285,1.08298,1.08284,1.08293,0,0
EURUSD,5,20250401,065500,1.08292,1.08292,1.08252,1.08252,0,0
EURUSD,5,20250401,070000,1.08248,1.08248,1.08201,1.08204,0,0
EURUSD,5,20250401,070500,1.08204,1.08215,1.08183,1.08188,0,0
EURUSD,5,20250401,071000,1.08189,1.08195,1.08177,1.08178,0,0
