<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XAUUSD,5,20250321,101500,3030,3030.63,3029.29,3030.12,0,0
XAUUSD,5,20250321,102000,3030.22,3030.78,3029.46,3030.21,0,0
XAUUSD,5,20250321,102500,3030.34,3031.55,3029.4,3030.92,0,0
XAUUSD,5,20250321,103000,3030.79,3030.95,3029.18,3029.62,0,0
XAUUSD,5,20250321,103500,3029.57,3029.84,3028.61,3029.32,0,0
XAUUSD,5,20250321,104000,3029.24,3029.56,3028.66,3029.13,0,0
XAUUSD,5,20250321,104500,3029,3030.25,3028.71,3028.72,0,0
XAUUSD,5,20250321,105000,3028.53,3030.31,3028.53,3030.31,0,0
XAUUSD,5,20250321,105500,3030.16,3030.23,3029.21,3029.67,0,0
XAUUSD,5,20250321,110000,3029.93,3031.82,3029.77,3031.36,0,0
XAUUSD,5,20250321,110500,3031.36,3032.98,3031.08,3032.77,0,0
XAUUSD,5,20250321,111000,3032.77,3033.36,3032.3,3033.16,0,0
XAUUSD,5,20250321,111500,3032.98,3033.14,3032.17,3032.68,0,0
XAUUSD,5,20250321,112000,3032.68,3033.28,3032.05,3033.16,0,0
XAUUSD,5,20250321,112500,3033.24,3033.26,3032.17,3032.17,0,0
XAUUSD,5,20250321,113000,3031.97,3032.12,3030.6,3031.22,0,0
XAUUSD,5,20250321,113500,3031.08,3031.74,3030.97,3030.98,0,0
XAUUSD,5,20250321,114000,3031,3032.95,3030.97,3032.3,0,0
XAUUSD,5,20250321,114500,3032.26,3033.34,3032.26,3032.45,0,0
XAUUSD,5,20250321,115000,3032.45,3033.46,3032.35,3033.25,0,0
XAUUSD,5,20250321,115500,3033.38,3033.38,3031.14,3031.14,0,0
XAUUSD,5,20250321,120000,3031.15,3031.15,3029.07,3029.8,0,0
XAUUSD,5,20250321,120500,3029.7,3031,3029.67,3031,0,0
XAUUSD,5,20250321,121000,3031.04,3032.17,3031.03,3032.15,0,0
XAUUSD,5,20250321,121500,3032.15,3032.37,3030.14,3030.45,0,0
XAUUSD,5,20250321,122000,3030.69,3031.61,3030.37,3030.6,0,0
XAUUSD,5,20250321,122500,3030.71,3031.9,3030.71,3031.51,0,0
XAUUSD,5,20250321,123000,3031.18,3031.83,3030.13,3031.72,0,0
XAUUSD,5,20250321,123500,3031.91,3033.91,3031.67,3033.62,0,0
XAUUSD,5,20250321,124000,3033.65,3034.82,3033.65,3034.73,0,0
XAUUSD,5,20250321,124500,3035.13,3037.52,3034.57,3037.52,0,0
XAUUSD,5,20250321,125000,3037.24,3037.32,3032.93,3032.93,0,0
XAUUSD,5,20250321,125500,3033.42,3035.45,3033.32,3034.42,0,0
XAUUSD,5,20250321,130000,3034.44,3035.81,3034.38,3035.58,0,0
XAUUSD,5,20250321,130500,3035.39,3037.25,3035.39,3037.25,0,0
XAUUSD,5,20250321,131000,3037.22,3038.09,3035.49,3035.8,0,0
XAUUSD,5,20250321,131500,3035.42,3036,3034.41,3035.58,0,0
XAUUSD,5,20250321,132000,3035.58,3036,3034.12,3035.7,0,0
XAUUSD,5,20250321,132500,3035.8,3035.8,3034.09,3035.36,0,0
XAUUSD,5,20250321,133000,3035.36,3035.57,3033.59,3034.58,0,0
XAUUSD,5,20250321,133500,3034.6,3035.25,3033.63,3034.36,0,0
XAUUSD,5,20250321,134000,3034.41,3036.08,3034.12,3034.84,0,0
XAUUSD,5,20250321,134500,3034.87,3037.36,3034.47,3037.36,0,0
XAUUSD,5,20250321,135000,3037.43,3038.1,3035.9,3035.93,0,0
XAUUSD,5,20250321,135500,3035.54,3036.04,3034.11,3034.16,0,0
XAUUSD,5,20250321,140000,3034.21,3036.18,3033.31,3036.1,0,0
XAUUSD,5,20250321,140500,3036.16,3036.88,3034.74,3034.83,0,0
XAUUSD,5,20250321,141000,3034.74,3036.03,3034.74,3035.9,0,0
XAUUSD,5,20250321,141500,3035.89,3036.4,3034.96,3034.96,0,0
XAUUSD,5,20250321,142000,3034.54,3034.84,3030.88,3030.92,0,0
XAUUSD,5,20250321,142500,3030.94,3032.36,3029.61,3030.16,0,0
XAUUSD,5,20250321,143000,3029.47,3029.47,3024.77,3026.22,0,0
XAUUSD,5,20250321,143500,3025.82,3025.82,3014.36,3016.92,0,0
XAUUSD,5,20250321,144000,3016.9,3018.9,3014.08,3014.12,0,0
XAUUSD,5,20250321,144500,3015.05,3016.2,3010.78,3010.85,0,0
XAUUSD,5,20250321,145000,3010.77,3013.88,3008.7,3011,0,0
XAUUSD,5,20250321,145500,3011.31,3012.06,3004.81,3006.43,0,0
XAUUSD,5,20250321,150000,3006.03,3007.2,3003.76,3005,0,0
XAUUSD,5,20250321,150500,3005.81,3006.18,2999.86,2999.98,0,0
XAUUSD,5,20250321,151000,2999.61,3005.86,2999.61,3004.34,0,0
XAUUSD,5,20250321,151500,3003.81,3005.53,3000.79,3004.5,0,0
XAUUSD,5,20250321,152000,3004.68,3009.47,3004.68,3006.28,0,0
XAUUSD,5,20250321,152500,3006.4,3009.58,3006.35,3008.38,0,0
XAUUSD,5,20250321,153000,3008.26,3008.32,3005.77,3007.21,0,0
XAUUSD,5,20250321,153500,3007.03,3008.09,3005.84,3007.09,0,0
XAUUSD,5,20250321,154000,3007.13,3010.91,3006.67,3009.65,0,0
XAUUSD,5,20250321,154500,3009.82,3013.95,3009.79,3013.05,0,0
XAUUSD,5,20250321,155000,3012.95,3014.6,3012.95,3014.34,0,0
XAUUSD,5,20250321,155500,3014.3,3016.76,3014.12,3015.81,0,0
XAUUSD,5,20250321,160000,3015.99,3017.44,3014.07,3016.87,0,0
XAUUSD,5,20250321,160500,3017.11,3017.97,3015.39,3016.08,0,0
XAUUSD,5,20250321,161000,3015.93,3016.92,3013.6,3014.09,0,0
XAUUSD,5,20250321,161500,3013.9,3016.92,3013.76,3014.96,0,0
XAUUSD,5,20250321,162000,3015.08,3015.26,3013.08,3014.17,0,0
XAUUSD,5,20250321,162500,3014.18,3014.79,3013.29,3014.32,0,0
XAUUSD,5,20250321,163000,3013.93,3014.42,3010.86,3011,0,0
XAUUSD,5,20250321,163500,3010.85,3014.44,3010.25,3013.21,0,0
XAUUSD,5,20250321,164000,3013.02,3013.43,3011.58,3013.33,0,0
XAUUSD,5,20250321,164500,3013.35,3014.1,3011.92,3013.23,0,0
XAUUSD,5,20250321,165000,3013.35,3013.41,3010.97,3011.01,0,0
XAUUSD,5,20250321,165500,3010.9,3012.94,3010.9,3011.3,0,0
XAUUSD,5,20250321,170000,3011.15,3012.81,3010.8,3012.4,0,0
XAUUSD,5,20250321,170500,3012.96,3015.38,3012.76,3013.56,0,0
XAUUSD,5,20250321,171000,3013.59,3015.38,3013.48,3014.3,0,0
XAUUSD,5,20250321,171500,3014.03,3014.38,3013.17,3014.32,0,0
XAUUSD,5,20250321,172000,3014.42,3015.91,3014.36,3015.64,0,0
XAUUSD,5,20250321,172500,3015.44,3015.91,3014.24,3014.98,0,0
XAUUSD,5,20250321,173000,3014.98,3016.85,3014.71,3016.85,0,0
